VendorName,AvgStockTurnOver
ALISA CARR BEVERAGES,0.62
ALTAMAR BRANDS LLC,0.96
AMERICAN SPIRITS EXCHANGE,0.88
AMERICAN VINTAGE BEVERAGE,0.96
ATLANTIC IMPORTING COMPANY,0.89
BACARDI USA INC,0.94
BANFI PRODUCTS CORP,0.92
BLACK PRINCE DISTILLERY INC,0.97
BRONCO WINE COMPANY,0.82
BROWN-FORMAN CORP,0.93
BULLY BOY DISTILLERS,0.95
CALEDONIA SPIRITS INC,0.86
CAMPARI AMERICA,0.95
CANDIA VINEYARDS,0.96
CASTLE BRANDS CORP.,0.96
CENTEUR IMPORTS LLC,0.77
CHARLES JACQUIN ET CIE INC,0.95
CONSTELLATION BRANDS INC,0.92
CRUSH WINES,0.85
Circa Wines,0.76
DELICATO VINEYARDS INC,0.93
DIAGEO CHATEAU ESTATE WINES,0.87
DIAGEO NORTH AMERICA INC,0.95
DISARONNO INTERNATIONAL LLC,0.98
DJINN SPIRITS LLC,0.88
DUGGANS DISTILLED PRODUCTS,0.9
Dunn Wine Brokers,0.77
E & J GALLO WINERY,0.92
EDRINGTON AMERICAS,0.88
FABRIZIA SPIRITS LLC,0.9
FLAG HILL WINERY & VINEYARD,0.92
FORTUNE WINE BROKERS LLC,0.84
FREDERICK WILDMAN & SONS,0.86
FULCHINO VINEYARD INC,0.88
HAUNTING WHISPER VYDS,0.91
HEAVEN HILL DISTILLERIES,0.96
HIGHLAND WINE MERCHANTS LLC,0.71
"HOOD RIVER DISTILLERS, Inc.",0.95
INCREDIBREW INC,0.93
JEWELL TOWNE VINEYARDS,0.87
JIM BEAM BRANDS COMPANY,0.95
KLIN SPIRITS LLC,0.88
KOBRAND CORPORATION,0.89
LABELLE VYDS AND WINERY,0.93
LAIRD & CO,0.92
LATITUDE BEVERAGE COMPANY,0.9
LUXCO INC,0.96
M S WALKER INC,0.9
MAJESTIC FINE WINES,0.93
MANGO BOTTLING INC,0.94
MARSALLE COMPANY,0.95
MARTIGNETTI COMPANIES,0.9
MCCORMICK DISTILLING CO,0.96
MHW LTD,0.93
MILTONS DISTRIBUTING CO,0.92
MOET HENNESSY USA INC,0.91
MOONLIGHT MEADERY,0.87
NICHE W & S,0.85
OLE SMOKY DISTILLERY LLC,0.94
PALM BAY INTERNATIONAL INC,0.92
PARK STREET IMPORTS LLC,0.75
PERFECTA WINES,0.88
PERNOD RICARD USA,0.93
PHILLIPS PRODUCTS CO.,0.98
PINE STATE TRADING CO,0.88
POVERTY LANE ORCHARDS,0.92
PREMIER DISTRIBUTORS,0.85
"PREMIUM PORT WINES, INC.",0.98
PROXIMO SPIRITS INC.,0.94
PSP WINES,0.86
R.P.IMPORTS INC,0.91
REMY COINTREAU USA INC,0.95
SAZERAC CO INC,0.95
SAZERAC NORTH AMERICA INC.,0.96
SEA BREEZE CELLARS LLC,0.9
SEA HAGG DISTILLERY LLC,0.94
SHAW ROSS INT L IMP LTD,0.92
SIDNEY FRANK IMPORTING CO,0.96
SMOKY QUARTZ DISTILLERY LLC,0.78
SOUTHERN GLAZERS W&S OF NE,0.83
SOUTHERN WINE & SPIRITS NE,0.9
STATE WINE & SPIRITS,0.87
STE MICHELLE WINE ESTATES,0.91
STELLAR IMPORTING CO LLC,0.84
"STOLI GROUP,(USA) LLC",0.93
SURVILLE ENTERPRISES CORP,0.88
SWEET BABY VINEYARD,0.88
SWEETWATER FARM,0.85
TAKARA SAKE USA INC,0.98
TALL SHIP DISTILLERY LLC,0.93
TAMWORTH DISTILLING,0.8
THE IMPORTED GRAPE LLC,0.81
THE PIERPONT GROUP LLC,0.95
TREASURY WINE ESTATES,0.92
TRINCHERO FAMILY ESTATES,0.91
TY KU LLC,0.98
ULTRA BEVERAGE COMPANY LLP,0.9
VINEXTRA INC,0.92
VINEYARD BRANDS INC,0.94
VINILANDIA USA,0.85
VRANKEN AMERICA,0.91
WALPOLE MTN VIEW WINERY,0.82
WEIN BAUER INC,0.85
WESTERN SPIRITS BEVERAGE CO,0.9
WILLIAM GRANT & SONS INC,0.91
WINE GROUP INC,0.9
ZORVINO VINEYARDS,0.91
