VendorName,TotalPurchaseDollars,PurchaseContribution (%)
ADAMBA IMPORTS INTL INC,446.16,0.0
ALISA CARR BEVERAGES,25698.12,0.01
ALTAMAR BRANDS LLC,11706.200000000008,0.0
AMERICAN SPIRITS EXCHANGE,934.08,0.0
AMERICAN VINTAGE BEVERAGE,104435.6799999992,0.03
ATLANTIC IMPORTING COMPANY,41116.31999999975,0.01
BACARDI USA INC,17432020.260000072,5.67
BANFI PRODUCTS CORP,1608143.7199999988,0.52
BLACK PRINCE DISTILLERY INC,5854.94,0.0
BLACK ROCK SPIRITS LLC,1152.0999999999997,0.0
BRONCO WINE COMPANY,1748.26,0.0
BROWN-FORMAN CORP,13238939.180000108,4.31
BULLY BOY DISTILLERS,53798.63999999999,0.02
CALEDONIA SPIRITS INC,221250.02000000188,0.07
CAMPARI AMERICA,4052963.6799999652,1.32
CANDIA VINEYARDS,36588.009999999995,0.01
CAPSTONE INTERNATIONAL,54.64,0.0
CASTLE BRANDS CORP.,1626446.2299999807,0.53
CENTEUR IMPORTS LLC,4292.83,0.0
CHARLES JACQUIN ET CIE INC,325229.0199999999,0.11
CONSTELLATION BRANDS INC,15273708.080000008,4.97
CRUSH WINES,220914.00000000003,0.07
Circa Wines,21538.53,0.01
DELICATO VINEYARDS INC,1494318.8899999952,0.49
DIAGEO CHATEAU ESTATE WINES,1279691.730000002,0.42
DIAGEO NORTH AMERICA INC,50097226.15999999,16.3
DISARONNO INTERNATIONAL LLC,1141947.8500000082,0.37
DJINN SPIRITS LLC,38735.32999999997,0.01
DUGGANS DISTILLED PRODUCTS,133190.3399999994,0.04
Dunn Wine Brokers,58381.75000000006,0.02
E & J GALLO WINERY,12068539.220000047,3.93
EDRINGTON AMERICAS,1878614.1800000025,0.61
FABRIZIA SPIRITS LLC,169240.00000000012,0.06
FANTASY FINE WINES CORP,128.64,0.0
FLAG HILL WINERY & VINEYARD,300403.19999999995,0.1
FLAVOR ESSENCE INC,17.0,0.0
FORTUNE WINE BROKERS LLC,39273.75000000003,0.01
FREDERICK WILDMAN & SONS,602133.6800000005,0.2
FULCHINO VINEYARD INC,11147.769999999997,0.0
HAUNTING WHISPER VYDS,5388.579999999998,0.0
HEAVEN HILL DISTILLERIES,2644130.099999991,0.86
HIGHLAND WINE MERCHANTS LLC,775.44,0.0
"HOOD RIVER DISTILLERS, Inc.",24035.96,0.01
INCREDIBREW INC,24525.840000000015,0.01
"IRA GOLDMAN AND WILLIAMS, LLP",190.88,0.0
JEWELL TOWNE VINEYARDS,54332.369999999995,0.02
JIM BEAM BRANDS COMPANY,23494304.32000004,7.64
KLIN SPIRITS LLC,103484.28999999916,0.03
KOBRAND CORPORATION,1741559.4700000004,0.57
LABELLE VYDS AND WINERY,135621.04999999993,0.04
LAIRD & CO,96527.28000000032,0.03
LATITUDE BEVERAGE COMPANY,309146.24000000017,0.1
LUXCO INC,1862411.0100000037,0.61
M S WALKER INC,9764312.59999999,3.18
MAJESTIC FINE WINES,3505853.1099999817,1.14
MANGO BOTTLING INC,204510.38000000053,0.07
MARSALLE COMPANY,164034.5300000001,0.05
MARTIGNETTI COMPANIES,25502095.82999994,8.3
MCCORMICK DISTILLING CO,254630.9400000009,0.08
MHW LTD,1600532.869999994,0.52
MILTONS DISTRIBUTING CO,1432.32,0.0
MOET HENNESSY USA INC,9250580.360000007,3.01
MOONLIGHT MEADERY,71357.58999999994,0.02
NICHE W & S,59780.96999999987,0.02
OLE SMOKY DISTILLERY LLC,387622.6900000004,0.13
PALM BAY INTERNATIONAL INC,2546769.049999997,0.83
PARK STREET IMPORTS LLC,46238.94999999993,0.02
PERFECTA WINES,4619722.660000006,1.5
PERNOD RICARD USA,23851164.170000136,7.76
PHILLIPS PRODUCTS CO.,329509.31999999733,0.11
PINE STATE TRADING CO,2865890.0400000033,0.93
POVERTY LANE ORCHARDS,45269.00999999997,0.01
PREMIER DISTRIBUTORS,80378.96000000015,0.03
"PREMIUM PORT WINES, INC.",59760.74000000021,0.02
PROXIMO SPIRITS INC.,7331096.339999955,2.39
PSP WINES,117552.55000000006,0.04
R.P.IMPORTS INC,18425.329999999998,0.01
REMY COINTREAU USA INC,3130918.4899999886,1.02
Russian Standard Vodka,72927.58000000003,0.02
SAZERAC CO INC,9714369.069999952,3.16
SAZERAC NORTH AMERICA INC.,3504979.060000003,1.14
SEA BREEZE CELLARS LLC,78426.74000000008,0.03
SEA HAGG DISTILLERY LLC,114125.73999999982,0.04
SHAW ROSS INT L IMP LTD,596584.9999999966,0.19
SIDNEY FRANK IMPORTING CO,1715908.8799999862,0.56
SILVER MOUNTAIN CIDERS,77.17999999999999,0.0
SMOKY QUARTZ DISTILLERY LLC,26076.350000000006,0.01
SOUTHERN GLAZERS W&S OF NE,27041.63999999999,0.01
SOUTHERN WINE & SPIRITS NE,3430367.4199999967,1.12
STAR INDUSTRIES INC.,2452.29,0.0
STATE WINE & SPIRITS,1455770.9900000033,0.47
STE MICHELLE WINE ESTATES,3072111.1499999994,1.0
STELLAR IMPORTING CO LLC,23529.16000000001,0.01
"STOLI GROUP,(USA) LLC",3405741.880000019,1.11
SURVILLE ENTERPRISES CORP,42954.479999999996,0.01
SWEET BABY VINEYARD,140577.89999999994,0.05
SWEETWATER FARM,19716.409999999996,0.01
Serralles Usa LLC,135637.1500000007,0.04
TAKARA SAKE USA INC,45289.34000000031,0.01
TALL SHIP DISTILLERY LLC,31160.500000000015,0.01
TAMWORTH DISTILLING,23863.839999999982,0.01
THE IMPORTED GRAPE LLC,12379.45,0.0
